,"I140 PP, 140/485 cc",Center,Type,"I-485
Received
 Date",Notice Date_FP,Walk-In?,Walk-in Office Location,"AP / EAD 
Approved 
Date",Days between RD and FP,Days between RD and AP/EAD ,"Finger
Print
Schedule
Day",FP Date,"485 
Approved
 Date","Green Card Received Date
","Days
between
 AP/EAD Day and
 485 AD Day","Days
between
 FP Day and
 485 AD Day","Days
 between
 RD and 
485 AD Day",I485 Pending day,Percentage of Cases Faster than Yours?,"--> Please sort by Receive date!
To New user, 
Please play with other sheet,
your changes are permanent!"
bluebubble,"non PP, non CC",TSC,EB1B,12/31/2013,1/9/2014,No,,2/25/2014,,55,1/27/2014,,4/15/2014,4/23/2014,49,78,105,,69.00%,dependent approved the same day
someone,PP,TSC,EB1A,12/30/2013,1/6/2014,No,"Durham, NC",,31,,1/30/2014,1/30/2014,3/6/2014,,,36,66,,36.00%,
nacor,non-PP,TSC,EB1A,12/17/2013,12/23/2014,No,NY,1/17/2014,23,30,1/9/2014,1/9/2014,3/18/2014,,,69,91,,60.30%,dependent approved the same day
exu,"PP, non CC",TSC,EB1A,12/17/2013,12/23/2013,W,"Charleston, WV",,14,,1/10/2014,12/31/2013,3/7/2014,3/12/2014,,67,80,,51.30%,dependent approved the same day
yuhuashi11,"pp, ",TSC,EB1B,12/10/2013,12/21/2013,,"York, PA",1/25/2014,48,45,1/10/2014,1/27/2014,Blessing,,,,,727,,
HappySF,"pp, non CC",TSC,EB1A,12/5/2013,12/23/2014,W,,1/23/2014,25,48,12/31/2013,12/30/2013,5/16/2014,,,136,161,,87.00%,dependent is still waiting
nnnnnnn,"PP, non CC",TSC,EB1A,11/27/2013,12/12/2013,W,"Boston, MA",1/10/2014,16,43,12/27/2013,12/13/2013,Blessing,,,,,740,,
leon,"PP, non CC",TSC,EB1A,11/27/2013,12/5/2013,No,"Jacksonville, FL",,33,,12/30/2013,12/30/2013,3/20/2014,,,80,113,,71.70%,dependent approved the same day
Hawkping,"PP, RFE PP, non CC",TSC,EB1A,11/26/2013,12/9/2013,W,,1/9/2014,14,43,12/31/2013,12/10/2013,       Blessing,,,,,741,,
happylibra,"PP, non CC",TSC,EB1B,11/25/2013,12/10/2013,No,"Durham, NC",1/4/2014,32,39,12/27/2013,12/27/2013,2/27/2014,,54,60,92,,60.90%,dependent approved the same day
Dacong,"PP,non CC",TSC,EB1A,11/21/2013,12/8/2013,W,MD,1/18/2014,21,57,12/18/2013,12/12/2013,2/27/2014,,,75,96,,64.00%,dependent is still in Acceptance status
dreamingpt,"PP, non CC",TSC,EB1B,11/20/2013,11/26/2013,No,,1/6/2014,27,46,12/17/2013,12/17/2013,2/26/2014,,51,69,96,,64.00%,dependent approved after RFE
Asbury,"PP, non CC",TSC,EB1B,11/15/2013,12/7/2013,No,,1/3/2014,28,46,12/13/2013,12/13/2013,3/21/2014,,77,98,126,,77.40%,dependent approved the same day
slimdisk,"PP,non CC",TSC,EB1B,11/14/2013,11/18/2013,W,FL,12/23/2013,12,48,12/13/2013,11/26/2013,       Blessing,,,,,753,,
wty123,"PP, non CC",TSC,EB1B,11/12/2013,11/20/2013,W,NYC,1/23/2014,15,71,12/17/2013,11/27/2013,8/30/2014,,219,18,288,,99.00%,
baominipad,"non PP, non CC",TSC,EB1A,11/8/2013,11/18/2013,W,"New York,NY",12/17/2013,19,39,12/12/2013,11/27/2013,2/27/2014,,,90,109,,70.90%,
verdure,"PP, CC",TSC,EB1B,11/7/2013,11/13/2013,No,,12/23/2013,35,46,12/12/2013,12/12/2013,3/7/2014,,74,85,120,,75.20%,
Lawrence444,PP,TSC,EB1B,11/6/2013,11/18/2013,W,"Atlanta, GA",12/23/2013,19,47,12/13/2013,11/25/2013,3/4/2014,,71,99,118,,73.70%,
StpGA,"non pp, non cc",TSC,EB1A,11/5/2013,11/17/2013,W,"Atlanta, GA",12/22/2013,19,47,12/12/2013,11/24/2013,3/3/2014,,,99,118,,73.70%,
Lexwindow,"non pp, cc",TSC,NIW,10/28/2013,11/1/2013,no,"Cincinnati, OH",12/2/2013,25,34,11/22/2013,11/22/2013,Blessing,,,,,769,,
margaret,"PP, non CC",TSC,EB1A,10/28/2013,11/6/2013,W,,1/9/2014,21,71,11/29/2013,11/18/2013,2/26/2014,3/5/2014,,98,118,,73.70%,
Tassadar,"PP, non CC",TSC,EB1B,10/25/2013,10/29/2013,No,"Elizabeth, NJ",11/30/2014,32,36,11/26/2013,11/26/2013,BLESSING,,,,,772,,
windward,"PP, CC",TSC,EB1B,10/25/2013,,W,"Boston, MA",,11,,,11/5/2013,12/2/2013,,,27,37,,5.50%,
mightyhare,"PP, non CC",TSC,EB1A,10/25/2013,,No,,11/27/2013,33,32,11/27/2013,11/27/2013,4/23/2014,,,146,178,,91.40%,
lovebaobao28,"PP,non CC",TSC,EB1A,10/24/2013,11/4/1023,W,,,12,,11/20/2013,11/5/2013,2/27/2014,,,112,123,,76.60%,dependent approved the same day
threshway,PP,TSC,EB1A,10/21/2013,,W,,,17,,11/21/2013,11/7/2013,2/6/2014,,,89,105,,69.00%,
computer,"PP, non CC",TSC,EB1A,10/21/2013,,W,"Houston, TX",,38,,11/26/2013,11/28/2013,2/26/2014,,,88,125,,77.00%,dependent is still in Acceptance status
futurehope,"PP, non CC",TSC,EB1A,10/18/2013,10/21/2013,W,"Hackensack, NJ",11/26/2013,11,38,11/19/2013,10/29/2013,3/1/2014,3/7/2014,,122,133,,79.40%,
abcdefggreed,"PP, non CC",TSC,EB1B,10/16/2013,,W,"Latham, NY",11/14/2013,28,28,11/27/2013,11/13/2013,2/8/2014,2/15/2014,,85,112,,71.50%,dependent applicant walkin FP 11/25/2013
rrpardise,pp,TSC,EB1A,10/15/2013,11/6/2013,w,"WPB, FL",11/29/2013,28,44,12/4/2013,11/12/2013,2/15/2014,2/24/2014,,93,120,,75.20%,
RT,no PP,TSC,EB1A,10/15/2013,11/6/2013,W,"Houston, TX",11/29/2013,28,44,11/26/2013,11/12/2013,3/24/2014,3/31/2014,,132,158,,86.20%,
jiehuan,non CC,TSC,EB1A,10/11/2013,10/21/2013,W,"York, PA",11/23/2013,17,42,11/15/2013,10/28/2013,12/5/2013,12/13/2013,,37,54,,24.20%,
samfanusa,non CC,TSC,EB1A,10/11/2013,10/21/2013,W,"Dallas, TX",11/22/2013,26,41,11/15/2013,11/6/2013,12/5/2013,12/13/2013,,29,54,,24.20%,
nihaoya,"PP, non CC",TSC,EB1B,10/9/2013,10/21/2013,No,,11/14/2013,34,35,11/12/2013,11/12/2013,3/5/2014,,,113,146,,82.70%,
caili,"non PP, RFE PP",TSC,EB1A,10/9/2013,10/17/2013,W,"Charleston, SC",11/26/2013,20,47,11/8/2013,10/29/2013,4/8/2014,4/16/2014,,,179,,91.70%,
AC2013,"non PP, non CC",TSC,EB1B,10/2/2013,10/17/2013,NO,,,43,,11/14/2013,11/14/2013,2/22/2014,,,98,140,,80.70%,
qcs,"non PP, non CC",TSC,EB1B,9/30/2013,10/7/2013,W,,11/18/2013,17,48,10/30/2013,10/17/2013,2/13/2014,,,116,133,,79.40%,
CrabABC,"PP, non CC",TSC,EB1B,9/30/2013,10/6/2013,No,,,30,,10/30/2013,10/30/2013,12/4/2013,,,34,64,,33.00%,
abd,pp,TSC,EB1B,9/26/2013,10/7/2013,W,,11/11/2013,14,45,10/28/2013,10/10/2013,,,,,,801,,
glycocluster,"non PP, non CC",TSC,EB1A,9/26/2013,10/1/2013,No,,11/10/2013,33,44,10/29/2013,10/29/2013,2/21/2014,,,112,145,,82.30%,
themagic12,"PP, non CC",TSC,EB1A,9/24/2013,10/1/2013,W,"Boston, MA",11/23/2013,24,59,10/28/2013,10/18/2013,2/26/2014,,,128,152,,84.50%,
stardift,"non PP, CC",TSC,EB1B,9/23/2013,10/6/2013,W,"Dallas, TX",11/14/2013,25,51,10/24/2013,10/18/2013,4/17/2014,,154,181,206,,95.50%,
brotherband,"PP, CC",TSC,EB1B,9/20/2013,9/27/2013,W,"Wheaton, MD",10/26/2013,14,36,10/22/2013,10/4/2013,1/8/2014,1/16/2014,74,94,108,,70.50%,
hata,PP,TSC,EB1A,9/20/2013,10/4/2013,W,baltimore,11/9/2013,35,49,10/25/2013,10/25/2013,blessing,,,,,807,,
marathonwang,"PP, non CC",TSC,EB1A,9/20/2013,9/27/2013,W,"Houston, TX",,11,,10/23/2013,10/1/2013,11/9/2013,11/18/2013,,38,50,,18.30%,
eggs,"PP, non CC",TSC,EB1B,9/19/2013,9/25/2013,W,"Latham, NY",11/15/2013,13,56,10/23/2013,10/2/2013,11/12/2013,11/19/2013,-3,40,53,,22.40%,
withstand,"PP, non CC",TSC,EB1A,9/19/2013,9/24/2013,W-F,"Boston, MA",10/28/2013,33,39,10/22/2013,10/22/2013,2/25/2014,3/3/2014,,123,158,,86.20%,
,"PP, non CC",TSC,EB1A,9/17/2013,9/24/2013,NO,,11/2/2013,28,45,10/15/2013,10/15/2013,2/13/2014,2/20/2014,,118,144,,81.70%,"RFE 1/21, RFE RD 2/5"
mmc,"PP, non CC",TSC,EB1B,9/16/2013,9/23/2013,NO,,10/18/2013,29,32,10/15/2013,10/15/2013,12/9/2013,12/16/2013,52,54,83,,53.60%,Transferred to NSC on 10/29
pattaya,"N PP, N CC",TSC,EB1A,9/16/2013,9/23/2013,W,,10/26/2013,18,40,10/16/2013,10/4/2013,12/10/2013,,,66,84,,54.80%,
guangshui,"PP, non CC",TSC,EB1B,9/13/2013,9/30/2013,W,"Birmingham,AL",10/28/2013,25,45,10/23/2013,10/8/2013,11/27/2013,,30,49,74,,44.80%,
memajia,"non-PP, non-CC",TSC,EB1B,9/13/2013,9/30/2013,W,Boston MA,10/25/2013,28,42,10/24/2013,10/11/2013,11/27/2013,,33,46,74,,44.80%,
Pearl,"PP, non CC",TSC,EB1B,9/13/2013,9/26/2013,W,"New York, NY",11/22/2013,19,69,10/11/2013,10/2/2013,12/11/2013,12/18/2013,19,69,88,,57.20%,
adler,"PP, CC",TSC,EB1B,9/13/2013,9/23/2013,NO,,10/28/2013,27,45,10/10/2013,10/10/2013,11/2/2013,11/8/2013,5,22,49,,17.30%,
DB,PP,TSC,EB1A,9/13/2013,9/19/2013,W,,10/22/2013,14,39,10/15/2013,9/27/2013,2/25/2014,3/6/2014,,148,162,,87.40%,
zz,"non-PP, non-CC",TSC,EB1B,9/12/2013,,NO,VA,,22,,10/4/2013,10/4/2013,blessing,,,,,815,,
gsu,"PP, non CC",TSC,EB1A,9/10/2013,9/20/2013,W,"Atlanta, GA",11/13/2013,22,63,10/8/2013,10/2/2013,1/9/2014,,,97,119,,74.70%,
letsflying,"PP, non CC",TSC,EB1A,9/10/2013,9/19/2013,W,,10/26/2013,10,46,10/8/2013,9/20/2013,12/6/2013,,,76,86,,56.80%,
xkxk,"non PP, non CC",TSC,EB1A,9/10/2013,9/19/2013,NO,"Royal Palm Beach, FL",10/28/2013,24,48,10/4/2013,10/4/2013,11/1/2013,11/9/2013,,27,51,,20.00%,
Wang0247,,TSC,,9/10/2013,,NO,,,,,,,11/15/2013,,,,65,,34.40%,
SOICMOS,"PP, non CC",TSC,EB1A,9/9/2013,10/21/2013,NO,,,59,,11/7/2013,11/7/2013,2/26/2014,,,109,167,,89.00%,
imiver,"PP, non CC",TSC,EB1A,9/9/2013,9/20/2013,W,,11/9/2013,14,60,10/7/2013,9/23/2013,12/17/2013,,,84,98,,65.20%,
ML,"PP, non CC",TSC,EB1A,9/9/2013,9/20/2013,NO,,10/18/2013,25,39,10/4/2013,10/4/2013,4/3/2014,,,179,203,,94.90%,
jc,"PP, non CC",TSC,EB1A,9/9/2013,9/19/2013,W,"Boston, MA",10/23/2013,18,44,10/7/2013,9/27/2013,3/6/2014,3/13/2014,,159,177,,90.80%,
remystar,"PP, non CC",TSC,EB1A,9/9/2013,9/16/2013,NO,,10/28/2013,25,49,10/4/2013,10/4/2013,5/28/2014,,,234,259,,97.80%,
sippnet1,"non-PP,Non CC",TSC,EB1A,9/9/2013,9/16/2013,NO,,10/30/2013,28,51,10/7/2013,10/7/2013,5/1/2014,,,204,232,,97.20%,
bengbengxiao,"PP,CC",TSC,EB1B,9/6/2013,9/10/2013,W,New York. NY,,12,,10/1/2013,9/18/2013,10/15/2013,,,27,39,,8.10%,
wantAP,"non PP, non CC",TSC,EB1B,9/6/2013,,,,10/26/2013,25,50,,10/1/2013,11/15/2013,11/21/2013,,44,69,,39.70%,
indy,"PP, non CC",TSC,EB1A,9/5/2013,10/25/2013,W,"Wheaton, MD",,53,,11/12/2013,10/28/2013,12/5/2013,,,37,90,,59.70%,
mdaccbcb,"PP,CC",TSC,EB1A,9/5/2013,9/16/2013,W,"Houston,TX",10/19/2013,13,44,10/7/2013,9/18/2013,11/16/2013,,,58,71,,42.20%,
kingcjj,"PP, non CC",TSC,EB1A,9/5/2013,9/10/2013,NO,,11/1/2013,19,56,9/24/2013,9/24/2013,11/19/2013,,,55,74,,44.80%,
whaticansay,"PP, non CC",TSC,EB1A,9/5/2013,,NO,"Atlanta, GA",10/24/2013,22,49,9/27/2013,9/27/2013,11/6/2013,11/14/2013,,39,59,,28.70%,
niugelongmei,"nonPP, nonCC",TSC,EB1A,9/4/2013,9/10/2013,NO,,,29,,10/3/2013,10/3/2013,10/8/2013,,,5,34,,3.30%,
Toozi,Non CC,TSC,EB1B,8/30/2013,,,,,20,,,9/19/2013,10/22/2013,,,33,52,,21.20%,
ylei76,"PP, non CC",TSC,EB1B,8/30/2013,,no,"Queence, NY",,31,,9/30/2013,9/30/2013,10/10/2013,,,10,40,,9.00%,
BC,"non PP, non CC",TSC,EB1A,8/28/2013,,no,"Nashiville, TN",,28,,9/25/2013,9/25/2013,11/1/2013,,,36,63,,31.40%,
cirill624,"nonPP, nonCC",TSC,EB1A,8/27/2013,9/9/2013,,,9/5/2013,,,9/24/2013,,9/20/2013,10/1/2013,,,23,,0.20%,10/21/2013
dannyhuang,"PP, non CC",TSC,EB1A,8/27/2013,9/4/2013,W,,,17,,10/1/2013,9/13/2013,11/25/2013,,,72,88,,57.20%,
newdj,"PP,non CC",TSC,EB1B,8/23/2013,9/2/2013,W,Vermont,9/30/2013,11,37,9/17/2013,9/3/2013,12/16/2013,,77,103,113,,71.70%,
dongdd,"nonPP, nonCC",TSC,EB1A,8/23/2013,9/6/2013,W,,11/6/2013,17,73,9/23/2013,9/9/2013,12/5/2013,,,86,102,,67.40%,
szsz,"PP, non CC",TSC,EB1A,8/19/2013,8/26/2013,W,,9/26/2013,16,37,9/19/2013,9/4/2013,11/2/2013,,,58,73,,43.80%,
dantemee,"PP, non CC",TSC,EB1B,8/15/2013,8/22/2013,W,"Lawrence, MA",9/28/2013,12,43,9/12/2013,8/27/2013,11/26/2013,,59,89,101,,66.40%,
TT,"PP, non CC",TSC,EB1B,8/15/2013,8/22/2013,W,"Philadelphia, PA",9/28/2013,15,43,9/16/2013,8/30/2013,11/26/2013,,59,86,101,,66.40%,
wjdu,"PP, non cc",TSC,EB1A,8/14/2013,8/21/2013,W,,,13,,9/17/2013,8/27/2013,Blessing,,,,,843,,
burnettyan,"PP, non CC",TSC,EB1B,8/13/2013,8/15/2013,W,"Fort Lauderdale, FL",9/30/2013,13,47,9/11/2013,8/26/2013,10/26/2013,11/4/2013,26,60,73,,43.80%,
oceandeep1,"PP, non cc",TSC,EB1B,8/12/2013,8/16/2013,No,,9/24/2013,31,42,9/12/2013,9/12/2013,11/14/2013,,51,62,92,,60.90%,Transferred to NSC on 10/4
lemontreehe,"PP, non cc",TSC,EB1A,8/12/2013,8/16/2013,No,,9/30/2013,25,48,9/6/2013,9/6/2013,12/13/2013,12/20/2013,,97,121,,75.80%,"Transferred to NSC on 10/2, AD @NSC"
vw51,"PP, non cc",TSC,EB1B,8/9/2013,8/15/2013,W,"Miami, FL",11/8/2013,17,89,9/12/2013,8/26/2013,11/20/2013,,12,84,101,,66.40%,
icypoint,PP,TSC,EB1A,8/9/2013,8/20/2013,No,"Philadelphia, PA",,27,,9/5/2013,9/5/2013,Blessing,,,,,848,,
little bao,PP,TSC,EB1A,8/9/2013,8/20/2013,W,"wheaton, MD",9/24/2013,14,45,9/5/2013,8/23/2013,10/3/2013,,,40,54,,24.20%,
hightea,"non-PP, CC",TSC,EB1B,8/7/2013,8/13/2013,No,"Boston, MA",9/27/2013,30,50,9/6/2013,9/6/2013,,,,"
","
",850,,
alan,"pp, non cc",TSC,EB1A,8/7/2013,8/22/2013,NO,,,32,,9/8/2013,9/8/2013,10/17/2013,,,39,70,,41.10%,
nimble,,TSC,EB1A,8/7/2013,8/15/2013,No,,10/8/2013,23,61,8/30/2013,8/30/2013,1/27/2014,,,147,170,,90.00%,
mtfy,pp,TSC,EB1A,8/5/2013,8/8/2013,w,"pittsburg, PA",10/4/2013,24,59,9/9/2013,8/29/2013,10/21/2013,,,52,76,,47.50%,
evon,,TSC,EB1A,8/5/2013,,,,9/13/2013,25,38,,8/30/2013,10/26/2013,,,56,81,,52.50%,
hx2013,"PP, non cc",TSC,EB1A,8/2/2013,8/8/2013,W,"Durham, NC",9/9/2013,17,37,9/5/2013,8/19/2013,10/18/2013,10/25/2013,,59,77,,48.30%,
buffaloboy,,,,8/2/2013,,,,,,,,,10/7/2013,,,,66,,36.00%,
Bodhidharma,"non-PP, CC",TSC,EB1B,8/1/2013,8/7/2013,No,"Latham, NY",9/19/2013,27,48,,8/28/2013,2/7/2014,,,159,186,,92.70%,
gamelife10,"PP, non cc",TSC,EB1A,8/1/2013,8/8/2013,W,"Durham, NC",,12,,9/3/2013,8/13/2013,10/7/2013,,,54,66,,36.00%,
VEGF,"PP, non cc",TSC,EB1A,7/30/2013,8/6/2013,W,"Boston, MA",9/4/2013,14,34,8/8/2013,8/13/2013,3/3/2014,,,200,213,,96.10%,
annieli,"PP, non CC",TSC,EB1A,7/29/2013,8/6/2013,W,"Lawrence, MA",8/27/2013,22,28,8/28/2013,8/20/2013,10/7/2013,,,47,68,,38.70%,
"Ris
","PP, non CC",TSC,EB1B,7/26/2013,8/3/2013,W,,,10,,,8/5/2013,,,,,,861,,
jjsprite,"PP, non cc",TSC,EB1B,7/25/2013,7/31/2013,NO,,8/19/2013,27,24,8/21/2013,8/21/2013,12/31/2013,,,130,156,,85.90%,
moonlakes,"PP, non cc",TSC,EB1A,7/25/2013,8/2/2013,W,"Wheaton, MD",9/10/2013,13,45,8/23/2013,8/7/2013,10/12/2013,,,65,77,,48.30%,
haku,"PP, non cc",TSC,EB1A,7/25/2013,7/31/2013,W,"Dallas, TX",8/30/2013,8,35,,8/2/2013,10/4/2013,,,62,69,,39.70%,
AM,"PP, CC",TSC,EB1B,7/23/2013,7/25/2013,W ,,8/10/2013,9,17,8/20/2013,8/1/2013,Blessing,,,,,864,,
Germ,"non PP, non CC",TSC,EB1A,7/23/2013,,,,,,,,,10/1/2013,,,,70,,41.10%,LD 485 RD 08/07/2013 appr: 10/01/2013
Soarsun,"PP, non cc",TSC,EB1A,7/19/2013,7/23/2013,W,"Latham, NY",,17,,8/15/2013,8/5/2013,,,,,,868,,
wudimi,"PP, non cc",TSC,EB1B,7/18/2013,,W,,8/28/2013,28,40,7/25/2013,8/15/2013,10/17/2013,,,62,89,,58.50%,LD 485 RD 08/07/2013 appr: 10/01/2013
tcschef,"non PP, non cc",TSC,EB1A,7/18/2013,7/26/2013,NO,"Houston, TX",10/2/2013,25,74,8/12/2013,8/12/2013,10/19/2013,,,68,92,,60.90%,RFE 09/30 RFE RD 10/11
jiaoyn,"PP, non cc",TSC,EB1A,7/18/2013,7/24/2013,NO,,,32,,8/19/2013,8/19/2013,8/24/2013,,,5,36,,4.90%,
Xiaohunan,"PP, non cc",TSC,EB1A,7/18/2013,7/24/2013,NO,,8/28/2013,32,40,8/19/2013,8/19/2013,10/31/2013,,,73,105,,6.50%,
xiaojiong,"PP, non cc",TSC,EB1B,7/17/2013,7/22/2013,W,,8/16/2013,12,29,8/12/2013,7/29/2013,8/17/2013,,,18,30,,1.80%,
stariter,"PP, CC",TSC,EB1A,7/17/2013,7/26/2013,W-F,,,29,,8/16/2013,8/15/2013,8/23/2013,,,8,38,,6.50%,
Thatisit,PP,TSC,EB1B,7/16/2013,7/23/2013,NO,,,27,,8/12/2013,8/12/2013,9/6/2013,,,25,52,,21.20%,
garocky,"PP, non cc",TSC,EB1A,7/16/2013,7/23/2013,W,"Atlanta, GA",,16,,8/16/2013,8/1/2013,8/26/2013,,,25,40,,9.00%,
city,"PP, non cc",TSC,EB1A,7/15/2013,7/17/2013,W,,8/19/2013,11,34,8/15/2013,7/26/2013,10/10/2013,,,75,85,,56.00%,Rfe medical exam submitted on Sep.30
yml,"PP, non cc",TSC,EB1B,7/12/2013,7/18/2013,W,"Lawrence, MA",8/21/2013,14,39,8/14/2013,7/26/2013,8/23/2013,,2,27,41,,10.20%,
muzijing,"PP, non cc",TSC,EB1A,7/12/2013,,,,,33,,,8/14/2013,9/6/2013,,,23,54,,24.20%,
danaodai,"PP, non cc",TSC,EB1A,7/11/2013,7/20/2013,W,,8/19/2013,11,38,8/7/2013,7/22/2013,8/19/2013,,,27,38,,6.50%, 
AFGOD,"pp, non cc",TSC,EB1A,7/9/2013,7/22/2013,W,"OKC, OK",8/9/2013,15,30,8/5/2013,7/24/2013,10/3/2013,,,69,84,,54.80%,dependant approved on Oct.24
EOS,"PP, non cc",TSC,EB1A,7/9/2013,7/19/2013,No,,8/9/2013,31,30,8/9/2013,8/9/2013,8/29/2013,,,20,50,,18.30%,
finkbine,non-PP,TSC,EB1A,7/5/2013,7/18/2013,W,"Manchester, NH",8/16/2013,20,41,8/2/2013,7/25/2013,8/29/2013,,,34,54,,24.20%,
numa,"PP, non CC",TSC,EB1B,7/3/2013,7/11/2013,W,,8/21/2013,16,48,8/2/2013,7/19/2013,10/10/2013,,50,82,97,,64.80%,
nineteen,"PP, non cc",TSC,EB1B,7/3/2013,7/10/2013,W,,8/9/2013,21,36,8/8/2013,7/24/2013,10/10/2013,,62,77,97,,64.80%,
deerpark323,non-PP non-cc,TSC,EB1A,7/3/2013,7/9/2013,W,,8/30/2013,23,57,8/9/2013,7/26/2013,10/8/2013,,,73,95,,63.50%,
William Yuan,"PP, CC",TSC,EB1A,6/27/2013,,W,,8/3/2013,11,36,7/24/2013,7/8/2013,10/2/2013,,,85,95,,63.50%,"RFE for both applicants, on July 27"
kaka,non-PP non-cc,TSC,EB1B,6/24/2013,7/5/2013,No,,8/21/2013,35,57,7/29/2013,7/29/2013,9/7/2013,,17,38,73,,43.80%,Blessing for dependent
IssacTang,"PP, CC",TSC,EB1B,6/24/2013,6/26/2013,NO,,7/18/2013,23,24,,7/17/2013,8/9/2013,8/15/2013,22,22,45,,13.80%,
leoyang,"PP, non CC",TSC,EB1A,6/21/2013,6/27/2013,W,,8/22/2013,21,61,7/25/2013,7/12/2013,9/6/2013,,,54,75,,46.40%,Blessing for dependent
ethandou,"PP, non CC",TSC,EB1B,6/20/2013,7/1/2013,W,,8/9/2013,12,49,7/24/2013,7/2/2013,8/16/2013,,7,44,56,,26.10%,
Gillian85,"PP, CC",TSC,EB1A,6/19/2013,6/27/2013,W,"Philadelphia, PA",7/24/2013,9,35,7/16/2013,6/28/2013,8/22/2013,,,54,63,,31.40%,
flnn,"PP, non CC",TSC,EB1A,6/17/2013,6/24/2013,W,,7/20/2013,8,33,7/17/2013,6/25/2013,8/28/2013,,,64,71,,42.20%,dependant approved on June.02
Pegasus001,"PP, Non CC",TSC,EB1A,6/13/2013,6/26/2013,W,,7/25/2013,18,42,7/12/2013,7/1/2013,10/4/2013,,,70,110,,71.10%,
hankz,"pp, non cc",TSC,EB1B,6/12/2013,7/29/2013,W,,7/19/2013,56,37,8/15/2013,8/7/2013,9/7/2013,9/13/2013,50,30,85,,56.00%,
camdrew,"PP, non CC",TSC,EB1B,6/12/2013,6/19/2013,NO,,8/2/2013,34,50,7/16/2013,7/16/2013,Blessing,,,,,905,,
bingjingshi,"pp, non cc",TSC,EB1A,6/12/2013,6/17/2013,W,,7/25/2013,13,43,7/15/2013,6/25/2013,8/27/2013,,,62,75,,46.40%,
happylife12,"PP, non CC",TSC,EB1A,6/12/2013,6/17/2013,NO,,8/5/2013,28,53,7/10/2013,7/10/2013,8/26/2013,,,46,74,,44.80%,
Mayflower,"PP, non cc",TSC,EB1A,6/7/2013,8/5/2013,W,"Wheaton, MD",,66,,8/23/2013,8/12/2013,9/9/2013,,,27,92,,60.90%,
Zhuji,PP,TSC,EB1A,6/7/2013,6/14/2013,W,"York, PA",7/20/2013,20,43,7/10/2013,6/27/2013,8/10/2013,,,43,63,,31.40%,
assholeboss,"PP, non CC",TSC,EB1A,6/6/2013,6/13/2013,NO,,7/17/2013,32,41,7/8/2013,7/8/2013,7/26/2013,,,18,50,,18.30%,
sleeper,"PP, non cc",TSC,EB1A,6/5/2013,6/12/2013,W,,7/11/2013,13,36,7/5/2013,6/18/2013,7/15/2013,,,27,40,,9.00%,"dependent RFE 7/16, approved 8/13"
orc,"non-PP, non CC",TSC,EB1A,6/3/2013,6/10/2013,NO,,7/13/2013,29,40,7/2/2013,7/2/2013,10/4/2013,,,92,121,,75.80%,
L2013,non-PP non-cc,TSC,EB1A,6/3/2013,6/7/2013,NO,,7/22/2013,28,49,7/1/2013,7/1/2013,7/27/2013,,,26,53,,22.40%,
tinkerbell,non-PP non-cc,TSC,EB1B,5/29/2013,6/11/2013,NO,,6/22/2013,28,23,6/26/2013,6/26/2013,7/12/2013,,20,16,43,,11.60%,
oliviachen ,"pp, non cc",TSC,EB1A,5/29/2013,6/8/2013,W,,6/20/2013,14,21,7/1/2013,6/12/2013,6/27/2013,,,15,28,,0.80%,
feigou,PP,TSC,EB1A,5/23/2013,6/3/2013,W,,7/11/2013,14,48,6/26/2013,6/6/2013,9/5/2013,,,90,103,,68.00%,
tutu2011,pp cc,TSC,EB1A,5/21/2013,6/7/2013,NO,,,31,,6/21/2013,6/21/2013,7/11/2013,,,20,50,,18.30%,
davislee,non-pp non-cc,TSC,,5/20/2013,5/24/2013,NO,,6/17/2013,32,27,6/21/2013,6/21/2013,7/8/2013,8/10/2013,21,17,48,,15.30%,
tiexingxing,non-PP non-cc,TSC,EB1A,5/16/2013,5/20/2013,W,,6/15/2013,19,29,6/19/2013,6/4/2013,6/22/2013,,,18,36,,4.90%,
drouot,,TSC,,5/14/2013,5/20/2013,NO,,6/18/2013,31,34,6/14/2013,6/14/2013,6/28/2013,,,14,44,,12.40%,
guali,"PP, non cc",TSC,EB1B,5/13/2013,5/20/2013,W,,6/13/2013,18,30,6/17/2013,5/31/2013,7/1/2013,,18,31,48,,15.30%,
OcatO,"PP, non cc",TSC,EB1A,5/10/2013,5/22/2013,W,,,20,,6/13/2013,5/30/2013,8/15/2013,,,75,95,,63.50%,
tigermom,"PP, non cc",TSC,EB1A,5/8/2013,5/14/2013,W,,6/8/2013,12,30,6/6/2013,5/20/2013,8/3/2013,,,73,85,,56.00%,
kuan,"PP, non cc",TSC,EB1B,5/3/2013,5/9/2013,W,,5/24/2013,20,21,6/3/2013,5/23/2013,6/14/2013,,21,21,41,,10.20%,
ttoobboo,,TSC,,5/3/2013,5/7/2013,NO,,6/9/2013,34,36,,6/6/2013,6/28/2013,,,22,55,,25.50%,
sunshine09 ,,,,5/2/2013,"
",No,,6/12/2013,29,40,5/31/2013,5/31/2013,6/24/2013,,,24,52,,21.20%,
tigerssy ,"PP, non cc",TSC,EB1B,5/1/2013,5/7/2013,NO,,5/21/2013,34,20,6/4/2013,6/4/2013,6/22/2013,,32,18,51,,20.00%,
 mumu1129,"PP, non cc",TSC,EB1,5/1/2013,,W,,5/17/2013,19,16,,5/20/2013,6/10/2013,,,20,39,,8.10%,
