"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"994",2015-02-10,2015-03-20,2015-04-20,2015-06-12,"TSC","eb1b","NJ",38,31,53,122,2015,0
"995",2015-02-09,2015-03-12,2015-04-11,2015-04-17,"TSC","eb1a","MD",31,30,6,67,2015,0
"998",2015-02-09,2015-03-10,2015-04-16,2015-04-16,"TSC","eb1a","TX",29,37,0,66,2015,0
"1000",2015-02-02,2015-03-11,2015-04-16,2015-10-09,"TSC","eb1b","MD",37,36,176,249,2015,0
"1001",2015-02-02,2015-02-25,2015-04-03,2015-04-20,"TSC","eb1a","MA",23,37,17,77,2015,0
"1005",2015-01-27,2015-02-27,2015-04-03,2015-04-12,"TSC","eb1a",NA,31,35,9,75,2015,0
"1006",2015-01-26,2015-02-24,2015-03-24,2015-04-10,"TSC","eb1a",NA,29,28,17,74,2015,0
"1007",2015-01-23,2015-02-18,2015-03-24,2015-12-02,"TSC","eb1a","VA",26,34,253,313,2015,0
"1008",2015-01-23,2015-02-17,NA,2015-03-20,"TSC","eb1a",NA,25,NA,NA,56,2015,0
"1009",2015-01-20,2015-02-17,2015-03-19,2015-07-08,"TSC","eb1a","FL",28,30,111,169,2015,0
"1011",2015-01-12,2015-02-02,2015-03-19,2015-05-19,"TSC","eb1a","NY",21,45,61,127,2015,0
"1012",2015-01-09,2015-02-06,2015-03-27,2015-06-11,"TSC","eb1b","TX",28,49,76,153,2015,0
"1014",2015-01-08,2015-01-27,2015-03-27,2015-06-03,"TSC","eb1a","PA",19,59,68,146,2015,0
"1016",2015-01-08,2015-01-30,2015-03-23,2015-07-24,"TSC","eb1a","LA",22,52,123,197,2015,0
"1017",2015-01-02,2015-01-26,2015-03-26,2015-06-23,"TSC","eb1a","MA",24,59,89,172,2015,0
"1020",2014-12-24,2015-01-15,2015-03-09,2015-05-07,"TSC","eb1b","NY",22,53,59,134,2014,0
"1021",2014-12-24,2015-01-21,2015-03-03,2015-04-28,"TSC","eb1b",NA,28,41,56,125,2014,0
"1024",2014-12-23,2015-01-20,2015-03-06,2015-06-09,"TSC","eb1a",NA,28,45,95,168,2014,0
"1027",2014-12-17,2015-01-08,2015-04-08,2015-08-07,"TSC","eb1a",NA,22,90,121,233,2014,0
"1028",2014-12-15,NA,2015-02-25,2015-05-27,"TSC","eb1a","NC",NA,NA,91,163,2014,0
"1031",2014-12-08,2015-01-05,2015-02-13,2015-06-29,"TSC","eb1a","RI",28,39,136,203,2014,0
"1032",2014-12-08,2014-12-30,2015-02-06,2015-05-04,"TSC","eb1a",NA,22,38,87,147,2014,0
"1033",2014-12-08,2014-12-30,2015-02-17,2015-06-03,"TSC","eb1a","MD",22,49,106,177,2014,0
"1034",2014-12-04,2015-01-06,2015-02-19,2015-06-11,"TSC","eb1a","MD",33,44,112,189,2014,0
"1035",2014-12-04,NA,2015-02-17,2015-06-03,"TSC
","eb1a","KY",NA,NA,106,181,2014,0
"1036",2014-12-02,2014-12-22,2015-03-02,2015-05-08,"TSC","eb1a","GA",20,70,67,157,2014,0
"1037",2014-12-02,2014-12-22,2015-02-12,2015-05-15,"TSC","eb1a","FL",20,52,92,164,2014,0
"1040",2014-11-25,2014-12-22,2015-02-18,2015-03-23,"TSC","eb1b","NJ",27,58,33,118,2014,0
"1041",2014-11-25,2015-01-09,2015-02-13,2015-04-08,"TSC","eb1a","TX",45,35,54,134,2014,0
"1043",2014-11-24,2014-12-22,2015-01-23,2015-07-01,"TSC","eb1a","CT",28,32,159,219,2014,0
"1044",2014-11-24,2014-12-22,2015-01-31,2015-06-16,"TSC","eb1a","TX",28,40,136,204,2014,0
"1045",2014-11-20,2014-12-22,2015-02-05,2015-07-01,"TSC","eb1a","NY",32,45,146,223,2014,0
"1046",2014-11-19,2014-12-18,2015-01-27,2015-04-15,"TSC","eb1b","CT",29,40,78,147,2014,0
"1047",2014-11-18,2014-12-10,2015-01-23,2015-05-02,"TSC","eb1a","TX",22,44,99,165,2014,0
"1048",2014-11-17,2014-12-09,2015-02-01,2015-05-05,"TSC","eb1b","MA",22,54,93,169,2014,0
"1049",2014-11-17,2014-12-12,NA,2015-02-09,"TSC","eb1a","MA",25,NA,NA,84,2014,0
"1050",2014-11-14,2014-12-10,2015-01-20,2015-05-22,"TSC","eb1a","VA",26,41,122,189,2014,0
"1051",2014-11-12,2014-12-09,2015-02-16,2015-08-06,"TSC","eb1b","NY",27,69,171,267,2014,0
