"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"1454",2012-07-07,2012-08-07,NA,2012-11-06,"","eb1a",NA,31,NA,NA,122,2012,0
"1455",2012-07-06,2012-08-07,2012-08-10,2012-12-18,"TSC",NA,NA,32,3,130,165,2012,0
"1456",2012-07-05,2012-08-09,NA,2013-01-02,"","eb1b",NA,35,NA,NA,181,2012,0
"1457",2012-07-03,2012-08-08,2012-08-23,2012-08-23,"TSC","eb1a",NA,36,15,0,51,2012,0
"1458",2012-07-02,2012-07-16,2012-07-27,2012-12-05,"TSC",NA,NA,14,11,131,156,2012,0
"1459",2012-06-29,2012-08-07,2012-08-24,2012-10-16,"TSC","eb1b",NA,39,17,53,109,2012,0
"1460",2012-06-25,2012-07-26,2012-07-21,2012-11-15,"TSC","eb1a",NA,31,-5,117,143,2012,0
"1461",2012-06-21,2012-09-13,NA,2012-10-29,"TSC","eb1a",NA,84,NA,NA,130,2012,0
"1462",2012-06-14,NA,NA,2012-11-07,"",NA,NA,NA,NA,NA,146,2012,0
"1463",2012-06-12,2012-07-23,NA,2012-11-08,"TSC","eb1b",NA,41,NA,NA,149,2012,0
"1464",2012-06-12,2012-07-19,2012-07-12,2012-11-03,"TSC","eb1a",NA,37,-7,114,144,2012,0
"1465",2012-06-07,2012-09-04,2012-07-14,2012-11-09,"TSC","eb1a",NA,89,-52,118,155,2012,0
"1466",2012-06-04,2012-07-11,NA,2012-08-11,"TSC","eb1b",NA,37,NA,NA,68,2012,0
"1467",2012-06-04,NA,NA,2012-10-28,"TSC",NA,NA,NA,NA,NA,146,2012,0
"1468",2012-06-01,NA,NA,2012-11-05,"",NA,NA,NA,NA,NA,157,2012,0
"1469",2012-05-31,NA,2012-06-20,2012-12-21,"TSC","eb1b",NA,NA,NA,184,204,2012,0
"1470",2012-05-29,2012-08-27,2012-06-13,2012-09-26,"TSC","eb1a",NA,90,-75,105,120,2012,0
"1471",2012-05-28,NA,NA,2012-11-07,"",NA,NA,NA,NA,NA,163,2012,0
"1472",2012-05-25,2012-09-18,NA,2012-10-27,"TSC","eb1a",NA,116,NA,NA,155,2012,0
"1473",2012-05-17,2012-06-04,2012-06-04,2012-10-29,"TSC","eb1b",NA,18,0,147,165,2012,0
"1474",2012-05-10,2012-07-18,2012-05-18,2012-08-09,"TSC","eb1b",NA,69,-61,83,91,2012,0
"1475",2012-04-24,2012-06-08,2012-05-12,2012-06-28,"TSC","eb1b",NA,45,-27,47,65,2012,0
"1476",2012-04-24,2012-07-20,2012-05-26,2012-08-10,"TSC","eb1a",NA,87,-55,76,108,2012,0
"1477",2012-04-18,2012-06-22,NA,2012-07-11,"TSC","eb1b",NA,65,NA,NA,84,2012,0
"1478",2012-04-16,2012-05-14,NA,2012-06-15,"TSC","eb1b",NA,28,NA,NA,60,2012,0
"1479",2012-04-12,2012-05-29,NA,2012-06-17,"TSC","eb1b",NA,47,NA,NA,66,2012,0
"1480",2012-04-10,2012-05-21,2012-05-12,2012-06-27,"TSC","eb1a",NA,41,-9,46,78,2012,0
"1481",2012-04-09,2012-05-25,2012-05-18,2012-05-25,"TSC","eb1a",NA,46,-7,7,46,2012,0
"1482",2012-04-09,2012-05-29,2012-06-29,2012-10-25,"TSC","eb1a",NA,50,31,118,199,2012,0
"1483",2012-04-04,2012-05-09,2012-05-12,2012-08-14,"TSC","eb1b",NA,35,3,94,132,2012,0
"1484",2012-03-30,2012-06-05,2012-05-02,2012-06-23,"TSC","eb1a",NA,67,-34,52,85,2012,0
"1485",2012-03-27,2012-05-07,2012-04-21,2012-06-14,"TSC","eb1a",NA,41,-16,54,79,2012,0
"1486",2012-03-23,2012-04-25,2012-04-16,2012-06-22,"TSC","eb1b",NA,33,-9,67,91,2012,0
"1487",2012-03-21,2012-04-24,2012-04-28,2012-06-13,"TSC","eb1a",NA,34,4,46,84,2012,0
"1488",2012-03-09,2012-05-02,2012-04-14,2012-06-18,"TSC","eb1b",NA,54,-18,65,101,2012,0
"1489",2012-03-09,2012-05-14,2012-05-09,2012-07-07,"TSC","eb1a",NA,66,-5,59,120,2012,0
"1490",2012-03-09,NA,NA,2012-06-18,"TSC","eb1a",NA,NA,NA,NA,101,2012,0
"1491",2012-03-07,2012-03-30,2012-04-06,2012-05-11,"TSC","eb1b",NA,23,7,35,65,2012,0
"1493",2012-02-22,2012-03-22,NA,2012-06-12,"TSC","eb1a",NA,29,NA,NA,111,2012,0
"1494",2012-02-09,2012-04-09,2012-03-23,2012-08-04,"TSC","eb1b",NA,60,-17,134,177,2012,0
"1495",2012-02-06,NA,NA,2012-07-18,"TSC","eb1b",NA,NA,NA,NA,163,2012,0
"1496",2012-02-01,2012-03-23,2012-03-28,2012-04-17,"TSC",NA,NA,51,5,20,76,2012,0
"1497",2012-01-31,2012-02-28,2012-02-18,2012-03-22,"TSC","eb1b",NA,28,-10,33,51,2012,0
"1498",2012-01-29,2012-03-05,NA,2012-03-24,"TSC","eb1a",NA,36,NA,NA,55,2012,0
"1499",2012-01-25,2012-02-17,2012-03-03,2012-04-26,"TSC","eb1b",NA,23,15,54,92,2012,0
"1500",2012-01-24,2012-03-23,NA,2012-04-11,"TSC",NA,NA,59,NA,NA,78,2012,0
"1501",2012-01-23,2012-04-11,2012-03-10,2012-06-19,"TSC","eb1a",NA,79,-32,101,148,2012,0
"1502",2012-01-19,2012-02-28,2012-02-24,2012-04-06,"TSC",NA,NA,40,-4,42,78,2012,0
"1503",2012-01-18,2012-03-13,2012-02-28,2012-04-16,"TSC","eb1b",NA,55,-14,48,89,2012,0
"1504",2012-01-18,2012-02-06,2012-02-27,2012-03-29,"TSC","eb1a",NA,19,21,31,71,2012,0
"1505",2012-01-17,2012-03-09,2012-03-05,2012-04-06,"TSC","eb1b",NA,52,-4,32,80,2012,0
"1506",2012-01-10,2012-02-09,2012-02-13,2012-04-06,"TSC","eb1b",NA,30,4,53,87,2012,0
"1507",2012-01-10,2012-02-10,2012-02-25,2012-03-23,"TSC","eb1a",NA,31,15,27,73,2012,0
"1508",2012-01-09,2012-02-16,2012-03-01,2012-03-23,"TSC","eb1b",NA,38,14,22,74,2012,0
"1509",2012-01-09,NA,NA,2012-03-31,"TSC","eb1b",NA,NA,NA,NA,82,2012,0
"1510",2012-01-09,NA,2012-02-15,2012-03-27,"","eb1a",NA,NA,NA,41,78,2012,0
"1511",2012-01-03,2012-02-03,2012-02-09,2012-04-14,"TSC","eb1b",NA,31,6,65,102,2012,0
"1512",2012-01-03,2012-01-25,NA,2012-03-23,"TSC",NA,NA,22,NA,NA,80,2012,0
