,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
cyclind3,"PP, nonCC",NSC,EB1A,4/24/2015,,,,6/19/2015,,,7/6/2015,72,2015-07-30,41,97,,,,
rau***n,"PP, nonCC",NSC,EB1B,4/24/2015,5/22/2015,29,6/8/2015,6/8/2015,No,CA,,,Blessing,,,236,,,
forem,"PP, nonCC",NSC,EB1B,4/23/2015,5/23/2015,30,6/12/2015,6/12/2015,No,UT,6/26/2015,64,2015-07-01,19,69,,,,
sbgs,"PP, nonCC",NSC,EB1A,4/22/2015,5/23/2015,31,6/10/2015,5/29/2015,Yes,CA,7/6/2015,75,Blessing,,,238,,,
xxa4,"PP, CC",NSC,EB1B,4/21/2015,5/8/2015,18,5/28/2015,5/28/2015,No,CA,7/7/2015,76,Blessing,,,239,,,
mousa,"PP, nonCC",NSC,EB1A,4/20/2015,5/28/2015,38,6/10/2015,6/10/2015,No,CA,6/30/2015,71,2015-07-02,22,73,,,,
Wooh0011,"PP, nonCC",NSC,EB1A,4/20/2015,5/29/2015,39,6/8/2015,6/8/2015,No,MI,6/29/2015,70,2015-07-02,24,73,,,,
bamboo,"PP, nonCC",NSC,EB1B,4/20/2015,5/23/2015,33,6/11/2015,6/2/2015,Yes,CA,,,Blessing,,,240,,,
tlt,"PP, nonCC",NSC,EB1B,4/20/2015,5/16/2015,26,6/3/2015,6/3/2015,No,MI,7/6/2015,77,2015-07-14,41,85,,副卡晚两天批,,
silica,"PP, nonCC",NSC,EB1B,4/17/2015,5/16/2015,29,6/4/2015,6/4/2015,No,MN,,,2015-06-24,20,68,,主卡批了，副申请人还没有,,
May Liszt,,NSC,EB1A,4/15/2015,5/8/2015,23,5/29/2105,5/29/2015,No,CA,,,Blessing,,,245,,,
backtoone,"PP, nonCC",NSC,EB1A,4/10/2015,,,,5/12/2015,,,,,2015-06-04,23,55,,http://www.mitbbs.com/article_t/Immigration/33510653.html,,
